id	glytoucan_id	format_glyconnect	format_numeric	format_condensed	format_byonic	mass_monoisotopic	reviewed
495	G32550BI	Hex:1 HexNAc:2	1,2,0,0,0,0,0,0,0,0,0,0,0,0	H1N2	HexNAc(2)Hex(1)	586.2222	True
487	G47967RK	Hex:1 HexNAc:1 NeuGc:1	1,1,0,0,1,0,0,0,0,0,0,0,0,0	H1N1G1	HexNAc(1)Hex(1)NeuGc(1)	690.2331	True
167	G22355FZ	Hex:1 HexNAc:2 dHex:1	1,2,1,0,0,0,0,0,0,0,0,0,0,0	H1N2F1	HexNAc(2)Hex(1)dHex(1)	732.2801	True
717	G22355FZ	Hex:2 HexNAc:3 dHex:1	2,3,1,0,0,0,0,0,0,0,0,0,0,0	H2N3F1	HexNAc(3)Hex(2)dHex(1)	1097.4123	True
334	G31685JQ	Hex:2 HexNAc:2 dHex:1	2,2,1,0,0,0,0,0,0,0,0,0,0,0	H2N2F1	HexNAc(2)Hex(2)dHex(1)	894.3329	True
740	G74724QE	Hex:3 HexNAc:2 dHex:1	3,2,1,0,0,0,0,0,0,0,0,0,0,0	H3N2F1	HexNAc(2)Hex(3)dHex(1)	1056.3857	True
769	G74724QE	Hex:1 HexNAc:3 dHex:1	1,3,1,0,0,0,0,0,0,0,0,0,0,0	H1N3F1	HexNAc(3)Hex(1)dHex(1)	935.3595	True
660	G63628AV	Hex:2 HexNAc:2	2,2,0,0,0,0,0,0,0,0,0,0,0,0	H2N2	HexNAc(2)Hex(2)	748.275	True
324	G63628AV	Hex:1 HexNAc:2 dHex:1 NeuAc:1	1,2,1,1,0,0,0,0,0,0,0,0,0,0	H1N2F1S1	HexNAc(2)Hex(1)dHex(1)NeuAc(1)	1023.3755	True
683	G74722FL	Hex:1 HexNAc:1 NeuAc:1	1,1,0,1,0,0,0,0,0,0,0,0,0,0	H1N1S1	HexNAc(1)Hex(1)NeuAc(1)	674.2382	True
588	G74722FL	Hex:1 HexNAc:2 dHex:1 NeuGc:1	1,2,1,0,1,0,0,0,0,0,0,0,0,0	H1N2F1G1	HexNAc(2)Hex(1)dHex(1)NeuGc(1)	1039.3704	True
419	G74722FL	Hex:2 HexNAc:2 dHex:1 NeuGc:1	2,2,1,0,1,0,0,0,0,0,0,0,0,0	H2N2F1G1	HexNAc(2)Hex(2)dHex(1)NeuGc(1)	1201.4232	True
224	G74722FL	Hex:2 HexNAc:2 dHex:2	2,2,2,0,0,0,0,0,0,0,0,0,0,0	H2N2F2	HexNAc(2)Hex(2)dHex(2)	1040.3908	True
179	G74722FL	Hex:2 HexNAc:2 dHex:1 NeuAc:1	2,2,1,1,0,0,0,0,0,0,0,0,0,0	H2N2F1S1	HexNAc(2)Hex(2)dHex(1)NeuAc(1)	1185.4283	True
461	G81006GJ	Hex:1 HexNAc:1 NeuAc:2	1,1,0,2,0,0,0,0,0,0,0,0,0,0	H1N1S2	HexNAc(1)Hex(1)NeuAc(2)	965.3336	True
701	G19399OS	HexNAc:1 NeuAc:1	0,1,0,1,0,0,0,0,0,0,0,0,0,0	N1S1	HexNAc(1)NeuAc(1)	512.1854	True
221	G29931IJ	Hex:1 HexNAc:1	1,1,0,0,0,0,0,0,0,0,0,0,0,0	H1N1	HexNAc(1)Hex(1)	383.1428	True
272	G29931IJ	HexNAc:1	0,1,0,0,0,0,0,0,0,0,0,0,0,0	N1	HexNAc(1)	221.09	True
172	G29931IJ	Hex:2 HexNAc:2 NeuAc:2	2,2,0,2,0,0,0,0,0,0,0,0,0,0	H2N2S2	HexNAc(2)Hex(2)NeuAc(2)	1330.4658	True
533	G29931IJ	Hex:2 HexNAc:2 NeuAc:1	2,2,0,1,0,0,0,0,0,0,0,0,0,0	H2N2S1	HexNAc(2)Hex(2)NeuAc(1)	1039.3704	True
635	G29931IJ	Hex:1 HexNAc:2 NeuAc:1	1,2,0,1,0,0,0,0,0,0,0,0,0,0	H1N2S1	HexNAc(2)Hex(1)NeuAc(1)	877.3176	True
83	G29931IJ	Hex:1 HexNAc:2 dHex:1 Su:1	1,2,1,0,0,0,1,0,0,0,0,0,0,0	H1N2F1s1	HexNAc(2)Hex(1)dHex(1)Sulfo(1)	812.2369	True
263	G29931IJ	Hex:1 HexNAc:1 dHex:1 Kdn:1	1,1,1,0,0,0,0,0,1,0,0,0,0,0	H1N1F1K1	HexNAc(1)Hex(1)dHex(1)Kdn(1) % this composition contains Kdn (not defined residue for Byonic)	779.2696	True
226	G29931IJ	Hex:2 HexNAc:1 dHex:1 Su:1	2,1,1,0,0,0,1,0,0,0,0,0,0,0	H2N1F1s1	HexNAc(1)Hex(2)dHex(1)Sulfo(1)	771.2103	True
462	G29931IJ	Hex:1 HexNAc:1 Su:1	1,1,0,0,0,0,1,0,0,0,0,0,0,0	H1N1s1	HexNAc(1)Hex(1)Sulfo(1)	463.0996	True
591	G29931IJ	Hex:1 HexNAc:1 Kdn:1	1,1,0,0,0,0,0,0,1,0,0,0,0,0	H1N1K1	HexNAc(1)Hex(1)Kdn(1) % this composition contains Kdn (not defined residue for Byonic)	633.2117	True
121	G29931IJ	Hex:2 HexNAc:1 dHex:2 HexA:1	2,1,2,0,0,0,0,0,0,0,1,0,0,0	H2N1F2A1	HexNAc(1)Hex(2)dHex(2)HexA(1) % this composition contains HexA (not defined residue for Byonic)	1013.3435	True
465	G29931IJ	Hex:2 HexNAc:2 dHex:2 Su:1	2,2,2,0,0,0,1,0,0,0,0,0,0,0	H2N2F2s1	HexNAc(2)Hex(2)dHex(2)Sulfo(1)	1120.3476	True
164	G29931IJ	Hex:3 HexNAc:1 dHex:2 Su:1	3,1,2,0,0,0,1,0,0,0,0,0,0,0	H3N1F2s1	HexNAc(1)Hex(3)dHex(2)Sulfo(1)	1079.321	True
243	G29931IJ	Hex:2 HexNAc:2 dHex:3 Su:1 HexA:1	2,2,3,0,0,0,1,0,0,0,1,0,0,0	H2N2F3s1A1	HexNAc(2)Hex(2)dHex(3)Sulfo(1)HexA(1) % this composition contains HexA (not defined residue for Byonic)	1442.4376	True
566	G29931IJ	Hex:2 HexNAc:1 Su:1	2,1,0,0,0,0,1,0,0,0,0,0,0,0	H2N1s1	HexNAc(1)Hex(2)Sulfo(1)	625.1524	True
584	G29931IJ	HexNAc:1 Kdn:1	0,1,0,0,0,0,0,0,1,0,0,0,0,0	N1K1	HexNAc(1)Kdn(1) % this composition contains Kdn (not defined residue for Byonic)	471.1589	True
339	G29931IJ	Hex:1 HexNAc:2 Su:1	1,2,0,0,0,0,1,0,0,0,0,0,0,0	H1N2s1	HexNAc(2)Hex(1)Sulfo(1)	666.179	True
707	G29931IJ	Hex:3 HexNAc:1 dHex:1 Su:1	3,1,1,0,0,0,1,0,0,0,0,0,0,0	H3N1F1s1	HexNAc(1)Hex(3)dHex(1)Sulfo(1)	933.2631	True
283	G29931IJ	Hex:2 HexNAc:3 dHex:3	2,3,3,0,0,0,0,0,0,0,0,0,0,0	H2N3F3	HexNAc(3)Hex(2)dHex(3)	1389.5281	True
357	G29931IJ	Hex:3 HexNAc:3 dHex:2	3,3,2,0,0,0,0,0,0,0,0,0,0,0	H3N3F2	HexNAc(3)Hex(3)dHex(2)	1405.523	True
