hex,nacetyl,deoxyhexose,sialicacid,sulphate,amino,omethyl,oacetyl,pent,phosphate,glyconnect_id,glytoucan_id,mass
3,2,0,0,0,0,0,0,0,0,495,G32550BI,586.2222
3,2,1,0,0,0,0,0,0,0,167,G22355FZ,732.2801
5,3,1,0,0,0,0,0,0,0,717,G22355FZ,1097.4123
4,2,1,0,0,0,0,0,0,0,334,G31685JQ,894.3329
5,2,1,0,0,0,0,0,0,0,740,G74724QE,1056.3857
4,3,1,0,0,0,0,0,0,0,769,G74724QE,935.3595
4,2,0,0,0,0,0,0,0,0,660,G63628AV,748.275
3,2,1,1,0,0,0,0,0,0,324,G63628AV,1023.3755
2,1,0,1,0,0,0,0,0,0,683,G74722FL,674.2382
4,2,2,0,0,0,0,0,0,0,224,G74722FL,1040.3908
4,2,1,1,0,0,0,0,0,0,179,G74722FL,1185.4283
2,1,0,2,0,0,0,0,0,0,461,G81006GJ,965.3336
1,1,0,1,0,0,0,0,0,0,701,G19399OS,512.1854
2,1,0,0,0,0,0,0,0,0,221,G29931IJ,383.1428
1,1,0,0,0,0,0,0,0,0,272,G29931IJ,221.09
4,2,0,2,0,0,0,0,0,0,172,G29931IJ,1330.4658
4,2,0,1,0,0,0,0,0,0,533,G29931IJ,1039.3704
3,2,0,1,0,0,0,0,0,0,635,G29931IJ,877.3176
3,2,1,0,1,0,0,0,0,0,83,G29931IJ,812.2369
3,1,1,0,1,0,0,0,0,0,226,G29931IJ,771.2103
2,1,0,0,1,0,0,0,0,0,462,G29931IJ,463.0996
4,1,2,0,0,1,0,0,0,0,121,G29931IJ,1013.3435
4,2,2,0,1,0,0,0,0,0,465,G29931IJ,1120.3476
4,1,2,0,1,0,0,0,0,0,164,G29931IJ,1079.321
5,2,3,0,1,1,0,0,0,0,243,G29931IJ,1442.4376
3,1,0,0,1,0,0,0,0,0,566,G29931IJ,625.1524
3,2,0,0,1,0,0,0,0,0,339,G29931IJ,666.179
4,1,1,0,1,0,0,0,0,0,707,G29931IJ,933.2631
5,3,3,0,0,0,0,0,0,0,283,G29931IJ,1389.5281
6,3,2,0,0,0,0,0,0,0,357,G29931IJ,1405.523
8,4,0,0,0,0,0,0,0,0,648,G81295CK,1478.5394
5,3,4,0,0,0,0,0,0,0,157,G81295CK,1535.586
6,3,1,0,0,0,0,0,0,0,202,G94854LT,1259.4651
7,4,2,0,0,0,0,0,0,0,138,G51287LK,1608.6024
6,3,3,0,0,0,0,0,0,0,677,G51287LK,1551.5809
5,3,1,1,0,0,0,0,0,0,281,G51287LK,1388.5077
6,3,0,1,0,0,0,0,0,0,388,G47681UP,1404.5026
5,3,2,1,0,0,0,0,0,0,316,G47681UP,1534.5656
6,3,1,1,0,0,0,0,0,0,106,G47681UP,1550.5605
6,3,4,0,0,0,0,0,0,0,355,G47681UP,1697.6388
7,4,1,0,0,0,0,0,0,0,742,G49874UX,1462.5445
6,4,2,0,0,0,0,0,0,0,222,G49874UX,1446.5496
6,4,3,0,0,0,0,0,0,0,747,G49874UX,1592.6075
3,1,2,1,0,0,0,0,0,0,638,G49874UX,1128.4068
3,2,2,1,0,0,0,0,0,0,270,G49874UX,1169.4334
2,2,0,1,0,0,0,0,0,0,654,G49874UX,715.2648
4,3,1,1,0,0,0,0,0,0,679,G49874UX,1226.4549
4,1,0,0,0,0,1,0,0,0,803,G49874UX,721.2641
1,0,0,0,0,0,0,0,0,0,228,G49874UX,180.0634
3,1,0,0,0,0,1,0,0,0,795,G49874UX,559.2113
2,0,0,0,0,0,0,0,0,0,136,G07133YY,342.1162
4,1,0,0,0,0,0,0,0,0,212,G82930TB,707.2484
3,1,0,0,0,0,0,0,0,0,699,G46831QF,545.1956
3,2,0,2,0,0,0,0,0,0,340,G46831QF,1168.413
4,2,1,2,0,0,0,0,0,0,494,G46831QF,1476.5237
5,3,1,0,1,0,0,0,0,0,578,G46831QF,1177.3691
4,2,1,1,1,0,0,0,0,0,67,G46831QF,1265.3851
4,2,0,2,1,0,0,0,0,0,88,G60038ZA,1410.4226
4,2,0,1,1,0,0,0,0,0,317,G60038ZA,1119.3272
3,2,0,1,1,0,0,0,0,0,750,G60038ZA,957.2744
4,2,1,2,1,0,0,0,0,0,335,G60038ZA,1556.4805
4,2,2,1,1,0,0,0,0,0,613,G60038ZA,1411.443
4,2,0,0,1,0,0,0,0,0,745,G60038ZA,828.2318
4,2,1,0,1,0,0,0,0,0,493,G60038ZA,974.2897
5,3,0,1,0,0,0,0,0,0,34,G60038ZA,1242.4498
4,3,0,1,0,0,0,0,0,0,386,G60038ZA,1080.397
6,3,1,2,0,0,0,0,0,0,444,G60038ZA,1841.6559
6,3,2,2,0,0,0,0,0,0,520,G60038ZA,1987.7138
8,4,0,2,0,0,0,0,0,0,163,G18878GO,2060.7302
10,5,0,2,0,0,0,0,0,0,383,G26403SG,2425.8624
12,6,0,2,0,0,0,0,0,0,714,G37881RL,2790.9946
6,3,0,2,0,0,0,0,0,0,146,G37881RL,1695.598
5,3,2,0,0,0,0,0,0,0,156,G37881RL,1243.4702
3,2,2,0,0,0,0,0,0,0,702,G37881RL,878.338
2,2,0,0,0,0,0,0,0,0,541,G71838YU,424.1694
